,assists,goals,h_a,id,key_passes,match_id,own_goals,player,player_id,position,positionOrder,red_card,roster_in,roster_out,shots,team_id,time,xA,xG,xGBuildup,xGChain,yellow_card
5466,0,0,a,372773,0,11841,0,Jota,2132,AMR,11,0,372778,0,1,71,49,0,0.06358537822961807,0,0.06358537822961807,0
5467,0,0,a,372774,0,11841,0,Henri Lansbury,7727,AMC,12,0,372779,0,1,71,76,0,0.03499547392129898,0.3610353469848633,0.39603081345558167,0
5468,0,0,a,372775,3,11841,0,Jack Grealish,675,AML,13,0,0,0,3,71,90,0.10099562257528305,0.07019972801208496,0.3802095651626587,0.5119810700416565,1
5469,0,0,a,372776,0,11841,0,Wesley,7724,FW,15,0,0,0,1,71,90,0,0.3610353469848633,0,0.3610353469848633,0
5470,0,0,a,372779,0,11841,0,Jonathan Kodjia,7725,Sub,17,0,0,372774,0,71,14,0,0,0.019174233078956604,0.019174233078956604,0
5471,0,0,a,372777,1,11841,0,Frederic Guilbert,3253,Sub,17,0,0,372770,0,71,21,0.0167313851416111,0,0.019174233078956604,0.0359056182205677,0
5472,0,0,a,372778,0,11841,0,Anwar El Ghazi,5612,Sub,17,0,0,372773,2,71,41,0,0.03741024062037468,0.03499547392129898,0.07240571826696396,0
5473,0,0,h,372808,0,11842,0,Lukasz Fabianski,706,GK,1,0,0,0,0,81,90,0,0,0,0,1
5474,0,0,h,372809,1,11842,0,Ryan Fredericks,6891,DR,2,0,0,0,0,81,90,0.032236430794000626,0,0.1795298010110855,0.21176622807979584,0
5475,0,0,h,372810,0,11842,0,Issa Diop,3203,DC,3,0,0,0,0,81,90,0,0,0.032236430794000626,0.032236430794000626,1
5476,0,0,h,372811,0,11842,0,Fabián Balbuena,6892,DC,3,0,0,0,3,81,90,0,0.18624933063983917,0,0,0
5477,0,0,h,372812,1,11842,0,Arthur Masuaku,1760,DL,4,0,0,0,1,81,90,0.08868621289730072,0.008211499080061913,0.07101455330848694,0.07101455330848694,1
5478,0,0,h,372813,0,11842,0,Carlos Sánchez,667,DMC,7,0,372821,0,0,81,65,0,0,0.054154932498931885,0.054154932498931885,0
5479,0,0,h,372814,2,11842,0,Declan Rice,5553,DMC,7,0,0,0,1,81,90,0.054154932498931885,0.08126899600028992,0.201884925365448,0.30674222111701965,1
5480,0,1,h,372815,1,11842,0,Pablo Fornals,2335,AMR,11,0,0,0,1,81,90,0.07892225682735443,0.09239605069160461,0.26629772782325745,0.35869377851486206,0
5481,0,0,h,372816,2,11842,0,Manuel Lanzini,535,AMC,12,0,372819,0,1,81,73,0.14525820314884186,0.03509192168712616,0.008211499080061913,0.04330342262983322,0
5482,1,0,h,372817,3,11842,0,Felipe Anderson,1208,AML,13,0,0,0,0,81,90,0.2087569683790207,0,0.21009643375873566,0.32645735144615173,0
5483,0,0,h,372818,1,11842,0,Sébastien Haller,6144,FW,15,0,372820,0,4,81,58,0.008211499080061913,0.2529250383377075,0,0.06236643344163895,0
5484,0,0,h,372821,1,11842,0,Robert Snodgrass,1691,Sub,17,0,0,372813,1,81,25,0.04099113121628761,0.014802367426455021,0.07892225682735443,0.09372462332248688,0
5485,0,0,h,372819,0,11842,0,Albian Ajeti,2673,Sub,17,0,0,372816,1,81,17,0,0.07892225682735443,0.032236430794000626,0.11115868389606476,0
5486,0,0,h,372820,0,11842,0,Michail Antonio,531,Sub,17,0,0,372818,1,81,32,0,0.032236430794000626,0,0.032236430794000626,0
5487,0,0,a,372822,0,11842,0,Kasper Schmeichel,745,GK,1,0,0,0,0,75,90,0,0,0,0,0
5488,0,0,a,372823,0,11842,0,James Justin,7753,DR,2,0,0,0,0,75,90,0,0,0.6752835512161255,0.6752835512161255,0
5489,0,0,a,372824,0,11842,0,Wes Morgan,748,DC,3,0,0,0,2,75,90,0,0.502011775970459,0.15575642883777618,0.6088867783546448,0
5490,0,0,a,372825,0,11842,0,Jonny Evans,807,DC,3,0,0,0,0,75,90,0,0,0.513145923614502,0.513145923614502,0
5491,0,0,a,372826,0,11842,0,Christian Fuchs,749,DL,4,0,0,0,2,75,90,0,0.08612699806690216,0.500196635723114,0.500196635723114,0
5492,0,1,a,372827,1,11842,0,Demarai Gray,762,MR,8,0,372834,0,3,75,86,0.4531303644180298,1.2144633531570435,0.15575642883777618,0.9664404392242432,0
5493,0,0,a,372828,1,11842,0,Nampalys Mendy,1785,MC,9,0,372833,0,0,75,73,0.06001557409763336,0,0.906424880027771,0.9664404392242432,0
5494,0,0,a,372829,0,11842,0,Hamza Choudhury,6418,MC,9,0,0,0,1,75,90,0,0.08262740075588226,0.5133100748062134,0.5959374904632568,1
5495,0,0,a,372830,1,11842,0,Marc Albrighton,753,ML,10,0,0,0,1,75,90,0.01578323170542717,0.06954223662614822,0.8106840252876282,0.8960095047950745,0
5496,2,0,a,372831,2,11842,0,Ayoze Pérez,770,AMC,12,0,372835,0,0,75,67,0.8770807981491089,0,0,0.8770807981491089,0
5497,0,1,a,372832,1,11842,0,Kelechi Iheanacho,620,FW,15,0,0,0,2,75,90,0.09574085474014282,0.5795426964759827,0,0.6752835512161255,0
5498,0,0,a,372833,0,11842,0,Wilfred Ndidi,5545,Sub,17,0,0,372828,0,75,17,0,0,0.01578323170542717,0.01578323170542717,0
5499,0,0,a,372834,1,11842,0,Harvey Barnes,6681,Sub,17,0,0,372827,1,75,4,0.08262740075588226,0.07756823301315308,0,0.16019563376903534,0
5500,0,0,a,372835,2,11842,0,James Maddison,6818,Sub,17,0,0,372831,1,75,23,0.08625159412622452,0.01578323170542717,0,0.01578323170542717,0
